Flight Number,Departure,Arrival,Aircraft,Flight Time,Airline
AA840,KATL,KCLT,"A319, B38M",01:24,American Airlines
AA5338,KAGS,KCLT,E175,01:16,American Airlines
AA1232,KBWI,KCLT,"A321, B38M",01:19,American Airlines
AA5131,KBTR,KCLT,CRJ9,01:30,American Airlines
AA1047,MZBZ,KCLT,A320,02:45,American Airlines
AA2570,KXNA,KCLT,A320,02:10,American Airlines
AA855,TXKF,KCLT,A319,02:05,American Airlines
AA5185,KBHM,KCLT,A319,01:20,American Airlines
AA5279,KTRI,KCLT,CRJ9,01:00,American Airlines
AA1737,KBZN,KCLT,B38M,02:55,American Airlines
AA2586,TBPB,KCLT,A320,04:15,American Airlines
AA1204,KBUF,KCLT,"A319, A321",01:15,American Airlines
AA5154,KBTV,KCLT,CRJ9,01:40,American Airlines
AA2626,CYYC,KCLT,B38M,04:10,American Airlines
AA792,MMUN,KCLT,A321,02:15,American Airlines
AA301,MWCR,KCLT,B738,02:20,American Airlines
AA1039,KCID,KCLT,A320,02:05,American Airlines
AA230,KCHS,KCLT,"A319, A320, B38M",00:40,American Airlines
AA5231,KCRW,KCLT,CRJ9,00:57,American Airlines
AA5707,KCHO,KCLT,CRJ7,01:04,American Airlines
AA5722,KCHA,KCLT,CRJ-9,00:59,American Airlines
AA326,KORD,KCLT,"B738, B38M",02:15,American Airlines
AA1008,KCVG,KCLT,A319,01:15,American Airlines
AA961,KCLE,KCLT,"B738, A321, A320, B38M",01:40,American Airlines
AA5216,KCAE,KCLT,CRJ9,00:25,American Airlines
AA848,KCMH,KCLT,"A319, A320, CRJ9",00:55,American Airlines
AA1585,MMCZ,KCLT,B738,02:20,American Airlines
AA1170,TNCC,KCLT,B738,03:40,American Airlines
AA553,KDFW,KCLT,A321,02:34,American Airlines
AA5227,KDAY,KCLT,CRJ9,01:48,American Airlines
AA1031,KDAB,KCLT,"A319, CRJ9",01:00,American Airlines
AA573,KDEN,KCLT,A321,01:50,American Airlines
AA1511,KVPS,KCLT,"A319, B38M",01:46,American Airlines
AA2854,KDSM,KCLT,"A319, A320",02:10,American Airlines
AA387,KDTW,KCLT,A319,01:55,American Airlines
AA5681,KERI,KCLT,CRJ7,01:05,American Airlines
AA5755,KEVV,KCLT,CRJ7,01:00,American Airlines
AA5133,KFAY,KCLT,CRJ7,00:35,American Airlines
AA5826,KFLO,KCLT,CRJ7,00:30,American Airlines
AA1409,KFLL,KCLT,A321,01:25,American Airlines
AA565,KRSW,KCLT,A320,01:45,American Airlines
AA5898,KFWA,KCLT,CRJ7,01:05,American Airlines
AA705,EDDF,KCLT,B772,08:45,American Airlines
AA5467,MYGF,KCLT,E175,01:25,American Airlines
AA3790,KGNV,KCLT,CRJ7,01:30,American Airlines
AA2878,MYEF,KCLT,E175,01:55,American Airlines
AA1735,KGRR,KCLT,A319,01:45,American Airlines
AA3799,KGSO,KCLT,E175,00:30,American Airlines
AA5706,KPGV,KCLT,CRJ9,01:00,American Airlines
AA5016,KGSP,KCLT,A319,00:40,American Airlines
AA2340,TGPY,KCLT,B738,04:10,American Airlines
AA2573,MMGL,KCLT,"A321, B738",04:00,American Airlines
AA5560,KGPT,KCLT,CRJ9,02:05,American Airlines
AA3457,KHXD,KCLT,E175,01:00,American Airlines
AA1462,KIAH,KCLT,"B738, A321",02:35,American Airlines
AA5835,KHTS,KCLT,CRJ200,01:10,American Airlines
AA5155,KHSV,KCLT,CRJ9,01:25,American Airlines
AA346,KIND,KCLT,"B738, A321, B38M",01:00,American Airlines
AA687,KJAC,KCLT,A319,03:55,American Airlines
AA5322,KJAN,KCLT,CRJ7,02:10,American Airlines
AA548,KJAX,KCLT,"A321, B38M",00:55,American Airlines
AA5323,KOAJ,KCLT,CRJ7,01:05,American Airlines
AA964,KMCI,KCLT,"B738, A321, B38M",01:45,American Airlines
AA680,KEYW,KCLT,"E175, A319",01:40,American Airlines
AA5051,KTYS,KCLT,A319,00:55,American Airlines
AA5315,KLFT,KCLT,CRJ7,01:35,American Airlines
AA445,KLAS,KCLT,"A321, B38M",04:00,American Airlines
AA5085,KLEX,KCLT,CRJ9,00:50,American Airlines
AA898,MRLB,KCLT,B738,03:35,American Airlines
AA2096,KLIT,KCLT,A319,02:10,American Airlines
AA731,EGLL,KCLT,B772,07:45,American Airlines
AA1036,KLAX,KCLT,A321,05:15,American Airlines
AA536,KSDF,KCLT,CRJ9,01:20,American Airlines
AA5736,KLYH,KCLT,CRJ7,00:40,American Airlines
AA1002,KMSN,KCLT,A319,02:00,American Airlines
AA749,LEMD,KCLT,B772,08:20,American Airlines
AA5290,KMHT,KCLT,CRJ9,02:05,American Airlines
AA3844,MYAM,KCLT,E175,01:25,American Airlines
AA978,KMEM,KCLT,"B738, B38M",01:40,American Airlines
AA828,MMMX,KCLT,B38M,03:15,American Airlines
AA256,KMIA,KCLT,"B738, B38M, A321, B772",01:30,American Airlines
AA1775,KMDT,KCLT,A319,01:25,American Airlines
AA827,KMKE,KCLT,A319,02:10,American Airlines
AA894,KMSP,KCLT,B738,02:00,American Airlines
AA5804,KMOB,KCLT,CRJ7,01:55,American Airlines
AA5421,KMLI,KCLT,CRJ9,01:40,American Airlines
AA875,MKJS,KCLT,A321,02:30,American Airlines
AA5772,KMGM,KCLT,CRJ7,01:00,American Airlines
AA5029,CYUL,KCLT,CRJ9,01:45,American Airlines
AA717,EDDM,KCLT,B772,08:35,American Airlines
AA937,KMYR,KCLT,"A319, CRJ9, B38M",00:40,American Airlines
AA896,KBNA,KCLT,"B738, CRJ9, B38M",00:55,American Airlines
AA859,MYNN,KCLT,B738,01:40,American Airlines
AA5725,KEWN,KCLT,CRJ7,01:05,American Airlines
AA424,KMSY,KCLT,"A321, CRJ9",02:10,American Airlines
AA327,KJFK,KCLT,"A319, A321, B738, B38M",02:00,American Airlines
AA519,KLGA,KCLT,"A319, B738, A321, B38M",01:55,American Airlines
